transfer,well ,volume_ul,dilution ,lys_r1,lys_r2,lys_r3,lys_r4,his_r1,his_r2,his_r3,his_r3,his_r4
4,D6,10,5,,,,,,,,,
4,D6,10,6,,,,,,,,,
5,A1,10,3,,,,,,,,,
5,A1,10,4,,,,,,,,,
5,A1,10,5,,,,,,,,,
5,A1,10,6,,,,,,,,,
5,A2,10,3,,,,,,,,,
5,A2,10,4,,,,,,,,,
5,A2,10,5,,,,,,,,,
5,A2,10,6,,,,,,,,,
5,A3,10,3,,,,,,,,,
5,A3,10,4,,,,,,,,,
5,A3,10,5,,,,,,,,,
5,A3,10,6,,,,,,,,,
5,A4,10,3,,,,,,,,,
5,A4,10,4,,,,,,,,,
5,A4,10,5,,,,,,,,,
5,A4,10,6,,,,,,,,,
5,A5,10,3,,,,,,,,,
5,A5,10,4,,,,,,,,,
5,A5,10,5,,,,,,,,,
5,A5,10,6,,,,,,,,,
5,A6,10,3,,,,,,,,,
5,A6,10,4,,,,,,,,,
5,A6,10,5,,,,,,,,,
5,A6,10,6,,,,,,,,,
5,B1,10,3,,,,,,,,,
5,B1,10,4,,,,,,,,,
5,B1,10,5,,,,,,,,,
5,B1,10,6,,,,,,,,,
5,B2,10,3,,,,,,,,,
5,B2,10,4,,,,,,,,,
5,B2,10,5,,,,,,,,,
5,B2,10,6,,,,,,,,,
5,B3,10,3,,,,,,,,,
5,B3,10,4,,,,,,,,,
5,B3,10,5,,,,,,,,,
5,B3,10,6,,,,,,,,,
5,B4,10,3,,,,,,,,,
5,B4,10,4,,,,,,,,,
5,B4,10,5,,,,,,,,,
5,B4,10,6,,,,,,,,,
5,B5,10,3,,,,,,,,,
5,B5,10,4,,,,,,,,,
5,B5,10,5,,,,,,,,,
5,B5,10,6,,,,,,,,,
5,B6,10,3,,,,,,,,,
5,B6,10,4,,,,,,,,,
5,B6,10,5,,,,,,,,,
5,B6,10,6,,,,,,,,,
5,C1,10,3,,,,,,,,,
5,C1,10,4,,,,,,,,,
5,C1,10,5,,,,,,,,,
5,C1,10,6,,,,,,,,,
5,C2,10,3,,,,,,,,,
5,C2,10,4,,,,,,,,,
5,C2,10,5,,,,,,,,,
5,C2,10,6,,,,,,,,,
5,C3,10,3,,,,,,,,,
5,C3,10,4,,,,,,,,,
5,C3,10,5,,,,,,,,,
5,C3,10,6,,,,,,,,,
5,C4,10,3,,,,,,,,,
5,C4,10,4,,,,,,,,,
5,C4,10,5,,,,,,,,,
5,C4,10,6,,,,,,,,,
5,C5,10,3,,,,,,,,,
5,C5,10,4,,,,,,,,,
5,C5,10,5,,,,,,,,,
5,C5,10,6,,,,,,,,,
5,C6,10,3,,,,,,,,,
5,C6,10,4,,,,,,,,,
5,C6,10,5,,,,,,,,,
5,C6,10,6,,,,,,,,,
5,D1,10,3,,,,,,,,,
5,D1,10,4,,,,,,,,,
5,D1,10,5,,,,,,,,,
5,D1,10,6,,,,,,,,,
5,D2,10,3,,,,,,,,,
5,D2,10,4,,,,,,,,,
5,D2,10,5,,,,,,,,,
5,D2,10,6,,,,,,,,,
5,D3,10,3,,,,,,,,,
5,D3,10,4,,,,,,,,,
5,D3,10,5,,,,,,,,,
5,D3,10,6,,,,,,,,,
5,D4,10,3,,,,,,,,,
5,D4,10,4,,,,,,,,,
5,D4,10,5,,,,,,,,,
5,D4,10,6,,,,,,,,,
5,D5,10,3,,,,,,,,,
5,D5,10,4,,,,,,,,,
5,D5,10,5,,,,,,,,,
5,D5,10,6,,,,,,,,,
5,D6,10,3,,,,,,,,,
5,D6,10,4,,,,,,,,,
5,D6,10,5,,,,,,,,,
5,D6,10,6,,,,,,,,,
6,A1,10,3,,,,,12,14,,,
6,A1,10,4,25,25,,,3,1,,,
6,A1,10,5,1,3,,,,,,,
6,A1,10,6,,,,,,,,,
6,A2,10,3,,,,,,,,,
6,A2,10,4,59,68,,,30,28,,,
6,A2,10,5,8,9,,,4,2,,,
6,A2,10,6,,,,,,,,,
6,A3,10,3,,,,,8,25,,,
6,A3,10,4,20,18,,,32,2,,,
6,A3,10,5,1,1,,,2,,,,
6,A3,10,6,,,,,,,,,
